step,x,y,r,phi
352,-11.6083,-45.4939,46.9515,-1.82063
353,-11.0022,-45.4865,46.7981,-1.80812
354,-10.3951,-45.4754,46.6483,-1.79552
355,-9.78718,-45.4606,46.5022,-1.78285
356,-9.17844,-45.4419,46.3596,-1.7701
357,-8.56894,-45.4195,46.2207,-1.75727
358,-7.95866,-45.3931,46.0855,-1.74436
359,-7.34771,-45.3628,45.954,-1.73138
360,-6.73607,-45.3284,45.8262,-1.71832
361,-6.12385,-45.29,45.7022,-1.7052
362,-5.51108,-45.2475,45.5819,-1.692
363,-4.89778,-45.2008,45.4654,-1.67873
364,-4.28404,-45.1498,45.3526,-1.6654
365,-3.66987,-45.0946,45.2437,-1.652
366,-3.05535,-45.0351,45.1387,-1.63854
367,-2.44053,-44.9713,45.0374,-1.62501
368,-1.82547,-44.903,44.9401,-1.61143
369,-1.21022,-44.8303,44.8466,-1.59779
370,-0.594843,-44.7531,44.757,-1.58409
371,0.0205986,-44.6714,44.6714,-1.57034
372,0.636032,-44.5851,44.5896,-1.55653
373,1.25147,-44.4942,44.5118,-1.54268
374,1.86679,-44.3988,44.438,-1.52878
375,2.48183,-44.2986,44.3681,-1.51483
376,3.09665,-44.1938,44.3022,-1.50084
377,3.71112,-44.0843,44.2402,-1.48681
378,4.32523,-43.9701,44.1823,-1.47274
379,4.93885,-43.8511,44.1284,-1.45864
380,5.55196,-43.7274,44.0785,-1.4445
381,6.16445,-43.5989,44.0326,-1.43034
382,6.77631,-43.4656,43.9907,-1.41614
383,7.3874,-43.3276,43.9529,-1.40192
384,7.99768,-43.1847,43.9191,-1.38767
385,8.60709,-43.0371,43.8893,-1.37341
386,9.21552,-42.8846,43.8636,-1.35912
387,9.82293,-42.7274,43.842,-1.34483
388,10.4293,-42.5654,43.8244,-1.33051
389,11.0344,-42.3986,43.8109,-1.31619
390,11.6384,-42.227,43.8015,-1.30186
391,12.241,-42.0507,43.7961,-1.28752
392,12.8423,-41.8696,43.7948,-1.27319
393,13.4421,-41.6838,43.7976,-1.25885
394,14.0404,-41.4933,43.8044,-1.24451
395,14.6371,-41.2982,43.8153,-1.23018
396,15.2322,-41.0984,43.8303,-1.21586
397,15.8256,-40.894,43.8493,-1.20155
398,16.4172,-40.685,43.8724,-1.18726
399,17.007,-40.4714,43.8996,-1.17298
400,17.5949,-40.2534,43.9308,-1.15872
401,18.1809,-40.0309,43.9661,-1.14448
402,18.7648,-39.8039,44.0053,-1.13026
403,19.3467,-39.5726,44.0487,-1.11608
404,19.9265,-39.3369,44.096,-1.10192
405,20.5041,-39.097,44.1474,-1.08779
406,21.0795,-38.8528,44.2028,-1.07369
407,21.6526,-38.6045,44.2622,-1.05964
408,22.2235,-38.352,44.3256,-1.04562
409,22.7919,-38.0954,44.3929,-1.03164
410,23.358,-37.8348,44.4643,-1.0177
411,23.9216,-37.5703,44.5396,-1.00382
412,24.4828,-37.3019,44.6188,-0.989976
413,25.0415,-37.0297,44.702,-0.976186
414,25.5976,-36.7536,44.7891,-0.962447
415,26.1511,-36.4739,44.8801,-0.948764
416,26.7021,-36.1905,44.975,-0.935137
417,27.2504,-35.9036,45.0738,-0.921568
418,27.796,-35.6131,45.1765,-0.90806
419,28.339,-35.3192,45.283,-0.894614
420,28.8793,-35.022,45.3933,-0.881232
421,29.4168,-34.7214,45.5074,-0.867916
422,29.9516,-34.4176,45.6254,-0.854667
423,30.4837,-34.1106,45.7471,-0.841488
424,31.0131,-33.8006,45.8725,-0.82838
425,31.5396,-33.4875,46.0017,-0.815344
426,32.0634,-33.1715,46.1346,-0.802383
427,32.5843,-32.8525,46.2712,-0.789497
428,33.1026,-32.5308,46.4115,-0.776687
